Transaction_ID,User_ID,Amount,service,Service_Type,Transaction_Status,Date
T0000001,PP0094881,8351.68,Loan payment,UPI,Success,2026-04-13
T0000002,PP0037518,8162.43,Insurance Payment,Scan & Pay,Success,2024-06-27
T0000003,PP0053066,2493.05,Insurance Payment,Bank Transfer,Failed,2025-09-27
T0000004,PP0100664,3281.56,Insurance Payment,Bank Transfer,Failed,2025-01-15
T0000005,PP0062172,4034.52,Money Transfer,UPI,Success,2025-05-14
T0000006,PP0090483,7332.65,Money Transfer,Scan & Pay,Failed,2024-01-02
T0000007,PP0058416,5677.47,Loan payment,Bank Transfer,Failed,2025-05-01
T0000008,PP0031234,7898.15,Loan payment,UPI,Failed,2025-01-01
T0000009,PP0094235,4689.95,Money Transfer,Scan & Pay,Pending,2024-09-10
T0000010,PP0076219,9025.24,Recharge Bill,UPI,Success,2025-11-22
T0000011,PP0012509,6324.24,Recharge Bill,UPI,Success,2025-04-23
T0000012,PP0015189,5914.88,Loan payment,Bank Transfer,Success,2025-05-04
T0000013,PP0109809,7765.4,Recharge Bill,Bank Transfer,Success,2025-06-05
T0000014,PP0005527,7161.53,Money Transfer,Scan & Pay,Success,2024-02-26
T0000015,PP0018914,7370.35,Loan payment,UPI,Pending,2023-10-12
T0000016,PP0004605,636.45,Recharge Bill,UPI,Pending,2023-11-07
T0000017,PP0012151,5901.4,Money Transfer,Scan & Pay,Pending,2025-02-02
T0000018,PP0009302,8017.92,Insurance Payment,Scan & Pay,Success,2026-03-04
T0000019,PP0026360,6000.06,Money Transfer,UPI,Success,2025-08-31
T0000020,PP0065995,630.34,Loan payment,Scan & Pay,Failed,2026-04-01
T0000021,PP0108353,6734.87,Recharge Bill,UPI,Failed,2026-04-16
T0000022,PP0107879,5301.4,Insurance Payment,Scan & Pay,Failed,2026-03-18
T0000023,PP0040044,9859.68,Insurance Payment,Scan & Pay,Pending,2025-08-05
T0000024,PP0018729,8363.34,Recharge Bill,UPI,Success,2024-03-08
T0000025,PP0010240,8909.09,Money Transfer,Scan & Pay,Success,2023-11-19
T0000026,PP0057025,2116.86,Money Transfer,Scan & Pay,Failed,2025-02-25
T0000027,PP0009189,2765.69,Money Transfer,UPI,Failed,2023-11-29
T0000028,PP0100690,3492.59,Loan payment,Bank Transfer,Success,2024-11-26
T0000029,PP0030798,6369.15,Loan payment,Scan & Pay,Pending,2025-04-28
T0000030,PP0094865,6135.58,Recharge Bill,Bank Transfer,Pending,2024-02-04
T0000031,PP0086178,7338.2,Loan payment,Bank Transfer,Success,2024-12-08
T0000032,PP0040927,8621.78,Recharge Bill,Bank Transfer,Pending,2024-01-11
T0000033,PP0086095,46.99,Loan payment,UPI,Failed,2024-12-31
T0000034,PP0070287,8213.43,Insurance Payment,UPI,Failed,2025-01-29
T0000035,PP0060855,5986.29,Recharge Bill,Scan & Pay,Success,2025-05-24
T0000036,PP0107661,1130.3,Insurance Payment,Bank Transfer,Pending,2025-11-12
T0000037,PP0105988,4924.21,Recharge Bill,Bank Transfer,Pending,2024-03-25
T0000038,PP0057739,8068.83,Money Transfer,UPI,Failed,2026-06-14
T0000039,PP0010882,9764.02,Recharge Bill,UPI,Success,2025-05-01
T0000040,PP0052127,2916.71,Recharge Bill,Bank Transfer,Success,2023-11-01
T0000041,PP0106955,1402.45,Insurance Payment,Bank Transfer,Pending,2026-06-05
T0000042,PP0035557,1231.91,Insurance Payment,Bank Transfer,Success,2024-09-27
T0000043,PP0108092,6460.64,Money Transfer,Scan & Pay,Pending,2025-12-23
T0000044,PP0070222,3449.03,Recharge Bill,Scan & Pay,Failed,2024-06-01
T0000045,PP0074024,9141.01,Insurance Payment,Scan & Pay,Pending,2025-05-10
T0000046,PP0008458,2373.91,Insurance Payment,Bank Transfer,Failed,2026-02-21
T0000047,PP0025760,9004.75,Loan payment,UPI,Failed,2024-05-12
T0000048,PP0074525,1036.17,Loan payment,Scan & Pay,Pending,2024-06-07
T0000049,PP0030735,2676.11,Money Transfer,Scan & Pay,Failed,2025-11-15
T0000050,PP0104367,3082.04,Loan payment,Scan & Pay,Pending,2024-03-28
T0000051,PP0079032,5859.09,Recharge Bill,Scan & Pay,Success,2024-09-09
T0000052,PP0080106,1051.49,Loan payment,Bank Transfer,Success,2024-12-21
T0000053,PP0086702,7302.33,Insurance Payment,Scan & Pay,Pending,2026-07-01
T0000054,PP0092141,5826.81,Money Transfer,Bank Transfer,Pending,2026-06-21
T0000055,PP0072047,8982.49,Loan payment,Scan & Pay,Pending,2025-11-18
T0000056,PP0092983,2661.96,Insurance Payment,Bank Transfer,Failed,2024-01-16
T0000057,PP0032007,3231.34,Recharge Bill,UPI,Success,2025-03-24
T0000058,PP0103190,1124.45,Money Transfer,Bank Transfer,Success,2024-06-18
T0000059,PP0023224,4189.21,Recharge Bill,Scan & Pay,Failed,2024-07-24
T0000060,PP0106589,4202.64,Money Transfer,Scan & Pay,Pending,2025-03-05
T0000061,PP0063574,9947.33,Loan payment,Bank Transfer,Failed,2024-01-09
T0000062,PP0075960,5867.0,Money Transfer,UPI,Success,2026-06-05
T0000063,PP0049258,450.92,Recharge Bill,UPI,Pending,2024-04-21
T0000064,PP0070652,9358.37,Loan payment,Scan & Pay,Success,2025-04-21
T0000065,PP0016864,2286.76,Money Transfer,Bank Transfer,Failed,2024-08-15
T0000066,PP0048779,7046.07,Recharge Bill,Scan & Pay,Pending,2024-10-23
T0000067,PP0076858,831.04,Insurance Payment,UPI,Pending,2026-06-21
T0000068,PP0055303,2601.14,Money Transfer,Bank Transfer,Failed,2025-07-27
T0000069,PP0068730,687.09,Insurance Payment,Scan & Pay,Failed,2025-06-15
T0000070,PP0092529,7921.34,Insurance Payment,Bank Transfer,Pending,2024-10-05
T0000071,PP0088149,7296.17,Insurance Payment,UPI,Pending,2026-04-16
T0000072,PP0095484,4405.74,Insurance Payment,Scan & Pay,Success,2025-01-28
T0000073,PP0029528,2685.09,Loan payment,UPI,Pending,2026-01-16
T0000074,PP0016173,7956.7,Recharge Bill,Scan & Pay,Success,2025-03-24
T0000075,PP0010872,8435.82,Insurance Payment,Bank Transfer,Failed,2024-07-23
T0000076,PP0003165,8190.94,Insurance Payment,Scan & Pay,Pending,2024-03-07
T0000077,PP0095039,9692.38,Loan payment,Scan & Pay,Failed,2026-04-04
T0000078,PP0003608,2135.96,Loan payment,Scan & Pay,Success,2025-01-11
T0000079,PP0049912,1783.02,Loan payment,Bank Transfer,Failed,2025-04-29
T0000080,PP0072489,2564.98,Recharge Bill,UPI,Success,2025-08-22
T0000081,PP0088277,9648.63,Loan payment,Bank Transfer,Success,2025-12-17
T0000082,PP0098682,8277.55,Money Transfer,UPI,Pending,2026-04-26
T0000083,PP0014590,3113.77,Loan payment,Scan & Pay,Success,2025-09-21
T0000084,PP0026012,6282.12,Insurance Payment,Bank Transfer,Pending,2024-05-13
T0000085,PP0050138,5125.02,Money Transfer,Scan & Pay,Success,2023-08-25
T0000086,PP0025920,5896.17,Recharge Bill,Bank Transfer,Success,2025-01-06
T0000087,PP0025606,659.89,Recharge Bill,UPI,Pending,2025-05-02
T0000088,PP0100513,9468.68,Loan payment,Bank Transfer,Success,2024-10-28
T0000089,PP0007439,6576.48,Money Transfer,Scan & Pay,Failed,2024-02-10
T0000090,PP0052213,2202.26,Insurance Payment,UPI,Failed,2026-01-06
T0000091,PP0007203,3059.69,Insurance Payment,UPI,Success,2024-06-19
T0000092,PP0057169,5647.23,Recharge Bill,UPI,Failed,2025-05-30
T0000093,PP0027908,3967.66,Loan payment,UPI,Success,2023-07-15
T0000094,PP0069481,3945.02,Money Transfer,Bank Transfer,Failed,2024-10-10
T0000095,PP0039724,8065.25,Insurance Payment,UPI,Failed,2025-10-20
T0000096,PP0075374,7474.53,Insurance Payment,Scan & Pay,Success,2025-01-10
